Date,Investment,Type,Amount,Shares
06/17/2021,FID INFRASTRUCTURE,Exchanges,20000,1607.716
06/16/2021,FIMM MMKT INST,Contributions,1006.34,1006.34
06/16/2021,FID DISRUPT AUTOMTN,Contributions,782.7,42.286
06/04/2021,FID DISRUPT AUTOMTN,Contributions,0.1,0.005
06/02/2021,FIMM MMKT INST,Contributions,559.08,559.08
06/02/2021,FID DISRUPT AUTOMTN,Contributions,782.7,42.77
05/28/2021,FIMM MMKT INST,Dividends and Interest,1.69,1.69
05/25/2021,FID SEL AIR TRANSPRT,REVENUE CREDIT,38.06,0.525
05/25/2021,FID SEL BIOTECH,REVENUE CREDIT,171.22,8.204
05/25/2021,FID SEL LEISURE,REVENUE CREDIT,24.71,1.3
05/25/2021,FID SEL MED TECH&DV,REVENUE CREDIT,115.95,1.568
05/25/2021,FID SEL BANKING,REVENUE CREDIT,121.02,4.075
05/25/2021,FID SEL CONSTR/HOUSE,REVENUE CREDIT,108.37,1.214
05/25/2021,FID ENV ALT ENERGY,REVENUE CREDIT,22.66,0.679
05/25/2021,FIMM MMKT INST,REVENUE CREDIT,20.75,20.75
05/25/2021,FID DIVIDEND GR K,REVENUE CREDIT,63.02,1.768
05/25/2021,FA CHINA REGION Z,REVENUE CREDIT,73.87,1.305
05/25/2021,FID INFRASTRUCTURE,REVENUE CREDIT,23.64,1.936
05/25/2021,FID DISRUPT AUTOMTN,REVENUE CREDIT,46.61,2.581
05/19/2021,FIMM MMKT INST,Contributions,559.08,559.08
05/19/2021,FID DISRUPT AUTOMTN,Contributions,782.7,44.982
05/12/2021,FIMM MMKT INST,Exchanges,-20000,-20000
05/12/2021,FA CHINA REGION Z,Exchanges,20000,366.838
05/05/2021,FID DISRUPT AUTOMTN,Contributions,838.61,46.564
05/04/2021,FID SEL LEISURE,Exchanges,20000,1043.84
05/04/2021,FIMM MMKT INST,Exchanges,-20000,-20000
04/30/2021,FID SEL BIOTECH,Exchanges,25000,1116.072
04/30/2021,FIMM MMKT INST,Dividends and Interest,2.5,2.5
04/30/2021,FIMM MMKT INST,Exchanges,-25000,-25000
04/28/2021,FIMM MMKT INST,Exchanges,72662.01,72662.01
04/28/2021,FA GOLD Z,Change in Market Value,3032.27,0
04/28/2021,FA GOLD Z,Exchanges,-72662.01,-2535.311
04/21/2021,FID DISRUPT AUTOMTN,Contributions,838.61,45.776
04/20/2021,FID SEL LEISURE,Exchanges,20000,1060.445
04/20/2021,FIMM MMKT INST,Exchanges,-20000,-20000
04/09/2021,FID SEL BIOTECH,Dividends and Interest,12982.14,603.54
04/09/2021,FID SEL LEISURE,Dividends and Interest,2037.2,106.436
04/09/2021,FID SEL MED TECH&DV,Dividends and Interest,6334.46,85.635
04/09/2021,FID SEL BANKING,Dividends and Interest,69.64,2.422
04/09/2021,FID SEL CONSTR/HOUSE,Dividends and Interest,3119.18,35.465
04/09/2021,FID ENV ALT ENERGY,Dividends and Interest,22.97,0.699
04/07/2021,FID DISRUPT AUTOMTN,Contributions,838.61,46.434
03/31/2021,FIMM MMKT INST,Dividends and Interest,4.6,4.6
03/26/2021,FIMM MMKT INST,Exchanges,-20000,-20000
03/26/2021,FA CHINA REGION Z,Exchanges,20000,344.412
03/24/2021,FID DISRUPT AUTOMTN,Contributions,838.61,49.446
03/10/2021,FID DISRUPT AUTOMTN,Contributions,838.61,49.243
03/05/2021,FID SEL AIR TRANSPRT,Exchanges,20000,296.517
03/05/2021,FID SEL LEISURE,Exchanges,20000,1063.265
03/05/2021,FIMM MMKT INST,Exchanges,-40000,-40000
02/26/2021,FIMM MMKT INST,Dividends and Interest,4.87,4.87
02/24/2021,FID DISRUPT AUTOMTN,Contributions,838.61,46.719
02/23/2021,FIMM MMKT INST,Exchanges,-10000,-10000
02/23/2021,FID DISRUPT AUTOMTN,Exchanges,10000,556.793
02/19/2021,FIMM MMKT INST,Exchanges,80000,80000
02/19/2021,FA GOLD Z,Change in Market Value,-3604.2,0
02/19/2021,FA GOLD Z,Exchanges,-80000,-3044.14
02/18/2021,FID ENV ALT ENERGY,Exchanges,20000,651.254
02/18/2021,FIMM MMKT INST,Exchanges,-20000,-20000
02/10/2021,FID DISRUPT AUTOMTN,Contributions,838.61,45.403
01/29/2021,FIMM MMKT INST,Dividends and Interest,4.44,4.44
01/27/2021,FID DISRUPT AUTOMTN,Contributions,838.61,47.702
01/20/2021,FIMM MMKT INST,Contributions,19141,19141
01/13/2021,FID DISRUPT AUTOMTN,Contributions,838.61,47.06
01/08/2021,FIMM MMKT INST,Exchanges,-30000,-30000
01/08/2021,FID INFRASTRUCTURE,Exchanges,30000,2493.766
01/06/2021,FID ENV ALT ENERGY,Exchanges,17247.01,557.614
01/06/2021,FIMM MMKT INST,Dividends and Interest,0.23,0.23
01/06/2021,FIMM MMKT INST,Exchanges,88795.02,88795.02
01/06/2021,FA TECHNOLOGY Z,Change in Market Value,40232.31,0
01/06/2021,FA TECHNOLOGY Z,Exchanges,-106042.03,-1118.233
09/30/2021,FIMM MMKT INST,Dividends and Interest,1.55,1.55
09/24/2021,FID SEL LEISURE,Exchanges,20000,988.632
09/24/2021,FIMM MMKT INST,Exchanges,-30000,-30000
09/24/2021,FID DISRUPT AUTOMTN,Exchanges,10000,505.051
09/22/2021,FIMM MMKT INST,Contributions,1006.34,1006.34
09/22/2021,FID DISRUPT AUTOMTN,Contributions,782.7,39.67
09/21/2021,FID SEL CONSTR/HOUSE,Change in Market Value,28246.42,0
09/21/2021,FID SEL CONSTR/HOUSE,Exchanges,-74504.59,-803.284
09/21/2021,FIMM MMKT INST,Exchanges,74504.59,74504.59
09/10/2021,FID DIVIDEND GR K,Dividends and Interest,8234.86,237.043
09/08/2021,FIMM MMKT INST,Contributions,1006.34,1006.34
09/08/2021,FID DISRUPT AUTOMTN,Contributions,782.7,38.96
08/31/2021,FIMM MMKT INST,Dividends and Interest,1.54,1.54
08/25/2021,FIMM MMKT INST,Contributions,1006.34,1006.34
08/25/2021,FID DISRUPT AUTOMTN,Contributions,782.7,40.076
08/17/2021,FID SEL AIR TRANSPRT,Exchanges,20000,290.952
08/17/2021,FIMM MMKT INST,Exchanges,-20000,-20000
08/11/2021,FIMM MMKT INST,Contributions,1006.34,1006.34
08/11/2021,FID DISRUPT AUTOMTN,Contributions,782.7,40.428
07/30/2021,FIMM MMKT INST,Dividends and Interest,0.96,0.96
07/29/2021,FID SEL LEISURE,Exchanges,20000,1031.459
07/29/2021,FIMM MMKT INST,Exchanges,-20000,-20000
07/28/2021,FID SEL AIR TRANSPRT,REVENUE CREDIT,54.61,0.788
07/28/2021,FID SEL BIOTECH,REVENUE CREDIT,171.22,7.599
07/28/2021,FID SEL LEISURE,REVENUE CREDIT,64.36,3.341
07/28/2021,FID SEL MED TECH&DV,REVENUE CREDIT,120.29,1.462
07/28/2021,FID SEL BANKING,REVENUE CREDIT,138.45,4.986
07/28/2021,FID SEL CONSTR/HOUSE,REVENUE CREDIT,115.59,1.262
07/28/2021,FID ENV ALT ENERGY,REVENUE CREDIT,38.18,1.115
07/28/2021,FIMM MMKT INST,Contributions,1006.34,1006.34
07/28/2021,FIMM MMKT INST,REVENUE CREDIT,29.12,29.12
07/28/2021,FID DIVIDEND GR K,REVENUE CREDIT,69.02,1.884
07/28/2021,FID INFRASTRUCTURE,REVENUE CREDIT,30.67,2.496
07/28/2021,FID DISRUPT AUTOMTN,Contributions,782.7,41.304
07/28/2021,FID DISRUPT AUTOMTN,REVENUE CREDIT,82.63,4.36
07/27/2021,FID SEL BIOTECH,Exchanges,30000,1371.115
07/27/2021,FIMM MMKT INST,Exchanges,-30000,-30000
07/26/2021,FIMM MMKT INST,Exchanges,162632.47,162632.47
07/26/2021,FA CHINA REGION Z,Change in Market Value,26307.48,0
07/26/2021,FA CHINA REGION Z,Exchanges,-162632.47,-3129.353
07/19/2021,FID SEL AIR TRANSPRT,Exchanges,15000,228.797
07/19/2021,FIMM MMKT INST,Exchanges,-15000,-15000
07/14/2021,FIMM MMKT INST,Contributions,1006.34,1006.34
07/14/2021,FID DISRUPT AUTOMTN,Contributions,782.7,41.044
07/09/2021,FID DISRUPT AUTOMTN,Dividends and Interest,216.06,11.39
11/09/2021,FID SEL AIR TRANSPRT,Dividends and Interest,21134.13,366.531
11/09/2021,FIMM MMKT INST,Exchanges,-15000,-15000
11/09/2021,FID DISRUPT AUTOMTN,Exchanges,15000,728.155
11/03/2021,FID SEL LEISURE,Exchanges,25000,1233.35
11/03/2021,FIMM MMKT INST,Contributions,1006.34,1006.34
11/03/2021,FIMM MMKT INST,Exchanges,-25000,-25000
11/03/2021,FID DISRUPT AUTOMTN,Contributions,391.35,19.412
10/29/2021,FIMM MMKT INST,Dividends and Interest,1.77,1.77
10/25/2021,FID SEL AIR TRANSPRT,REVENUE CREDIT,72.07,1.039
10/25/2021,FID SEL BIOTECH,REVENUE CREDIT,206.06,9.405
10/25/2021,FID SEL LEISURE,REVENUE CREDIT,88.58,4.431
10/25/2021,FID SEL MED TECH&DV,REVENUE CREDIT,135.46,1.567
10/25/2021,FID SEL BANKING,REVENUE CREDIT,134.26,4.154
10/25/2021,FID ENV ALT ENERGY,REVENUE CREDIT,55.68,1.487
10/25/2021,FIMM MMKT INST,REVENUE CREDIT,21.94,21.94
10/25/2021,FID DIVIDEND GR K,REVENUE CREDIT,71.46,1.985
10/25/2021,FID INFRASTRUCTURE,REVENUE CREDIT,61.67,4.859
10/25/2021,FID DISRUPT AUTOMTN,REVENUE CREDIT,82.28,4.233
10/21/2021,FID SEL AIR TRANSPRT,Exchanges,25000,360.335
10/21/2021,FIMM MMKT INST,Exchanges,-45000,-45000
10/21/2021,FID DIVIDEND GR K,Exchanges,20000,558.816
10/20/2021,FIMM MMKT INST,Contributions,1006.34,1006.34
10/20/2021,FID DISRUPT AUTOMTN,Contributions,782.7,40.534
10/12/2021,FID ENV ALT ENERGY,Exchanges,25000,726.955
10/12/2021,FIMM MMKT INST,Exchanges,-25000,-25000
10/06/2021,FIMM MMKT INST,Contributions,1006.34,1006.34
10/06/2021,FID DISRUPT AUTOMTN,Contributions,782.7,42.748
10/04/2021,FID ENV ALT ENERGY,Exchanges,20000,592.067
10/04/2021,FIMM MMKT INST,Exchanges,-30000,-30000
10/04/2021,FID DISRUPT AUTOMTN,Exchanges,10000,550.964
11/30/2021,FIMM MMKT INST,Dividends and Interest,1.22,1.22
11/26/2021,FIMM MMKT INST,Exchanges,-15000,-15000
11/26/2021,FID DISRUPT AUTOMTN,Exchanges,15000,765.697
11/17/2021,FIMM MMKT INST,Contributions,1006.34,1006.34
11/17/2021,FIMM MMKT INST,Exchanges,-20000,-20000
11/17/2021,FID DISRUPT AUTOMTN,Contributions,391.35,19.09
11/17/2021,FID DISRUPT AUTOMTN,Exchanges,20000,975.61
11/12/2021,FID SEL AIR TRANSPRT,Change in Market Value,-14481.8,0
11/12/2021,FID SEL AIR TRANSPRT,Exchanges,-121817.07,-2115.177
11/12/2021,FID SEL TRANSPORT,Exchanges,121817.07,1143.071
11/09/2021,FID SEL AIR TRANSPRT,Dividends and Interest,21134.13,366.531
11/09/2021,FIMM MMKT INST,Exchanges,-15000,-15000
11/09/2021,FID DISRUPT AUTOMTN,Exchanges,15000,728.155
12/22/2021,FID DISRUPT AUTOMTN,Contributions,506.14,25.294
12/20/2021,FID SEL BANKING,Exchanges,20000,708.216
12/20/2021,FIMM MMKT INST,Exchanges,-20000,-20000
12/17/2021,FID SEL BIOTECH,Dividends and Interest,11791.46,608.121
12/17/2021,FID SEL LEISURE,Dividends and Interest,23782.91,1449.294
12/17/2021,FID SEL MED TECH&DV,Dividends and Interest,5728.86,71.432
12/17/2021,FID SEL BANKING,Dividends and Interest,5308.21,183.802
12/17/2021,FID SEL TRANSPORT,Dividends and Interest,340.63,3.287
12/17/2021,FID ENV ALT ENERGY,Dividends and Interest,8611.79,253.064
12/17/2021,FID DIVIDEND GR K,Dividends and Interest,3605.3,102.336
12/15/2021,FIMM MMKT INST,Contributions,1006.34,1006.34
12/15/2021,FID DISRUPT AUTOMTN,Contributions,391.35,19.558
12/10/2021,FID INFRASTRUCTURE,Dividends and Interest,452.9,37.276
12/10/2021,FID DISRUPT AUTOMTN,Dividends and Interest,950.73,47.418
12/01/2021,FIMM MMKT INST,Contributions,1006.34,1006.34
12/01/2021,FID DISRUPT AUTOMTN,Contributions,391.35,20.018
11/30/2021,FIMM MMKT INST,Dividends and Interest,1.22,1.22
11/26/2021,FIMM MMKT INST,Exchanges,-15000,-15000
11/26/2021,FID DISRUPT AUTOMTN,Exchanges,15000,765.697
11/17/2021,FIMM MMKT INST,Contributions,1006.34,1006.34
11/17/2021,FIMM MMKT INST,Exchanges,-20000,-20000
11/17/2021,FID DISRUPT AUTOMTN,Contributions,391.35,19.09
11/17/2021,FID DISRUPT AUTOMTN,Exchanges,20000,975.61
11/12/2021,FID SEL AIR TRANSPRT,Change in Market Value,-14481.8,0
11/12/2021,FID SEL AIR TRANSPRT,Exchanges,-121817.07,-2115.177
11/12/2021,FID SEL TRANSPORT,Exchanges,121817.07,1143.071
01/31/2022,FIMM MMKT INST,Dividends and Interest,1.5,1.5
01/26/2022,FID SEL BIOTECH,REVENUE CREDIT,199.77,12.765
01/26/2022,FID SEL LEISURE,REVENUE CREDIT,128.21,8.033
01/26/2022,FID SEL MED TECH&DV,REVENUE CREDIT,136.22,2
01/26/2022,FID SEL BANKING,REVENUE CREDIT,148.51,4.769
01/26/2022,FID SEL TRANSPORT,REVENUE CREDIT,57.08,0.568
01/26/2022,FID ENV ALT ENERGY,REVENUE CREDIT,99.88,3.244
01/26/2022,FIMM MMKT INST,REVENUE CREDIT,15.85,15.85
01/26/2022,FID DIVIDEND GR K,REVENUE CREDIT,82.35,2.464
01/26/2022,FID INFRASTRUCTURE,REVENUE CREDIT,62.41,5.249
01/26/2022,FID DISRUPT AUTOMTN,REVENUE CREDIT,93.25,5.398
01/19/2022,FIMM MMKT INST,Contributions,18498,18498
01/12/2022,FIMM MMKT INST,Contributions,4327.51,4327.51
01/12/2022,FID DISRUPT AUTOMTN,Contributions,3365.84,172.43
12/31/2021,FIMM MMKT INST,Dividends and Interest,1.33,1.33
